Item id,Price
1,Price2
2,Price2
3,Price1
4,Base_Price
5,Price1
6,Price1
7,Base_Price
8,Price1
9,Price2
10,Price2
11,Base_Price
12,Base_Price
13,Price2
14,Price1
15,Base_Price
16,Base_Price
17,Price2
18,Price3
19,Price2
20,Price2
21,Base_Price
22,Price1
23,Price2
24,Price1
25,Price2
26,Base_Price
27,Price2
28,Price1
29,Price3
30,Price2
31,Price1
32,Price1
33,Price1
34,Price2
35,Price1
36,Price1
37,Price1
38,Price2
39,Price1
40,Price2
41,Price2
42,Price1
43,Price3
44,Price2
45,Base_Price
46,Base_Price
47,Price4
48,Price2
49,Base_Price
50,Price2
51,Price1
52,Price1
53,Price3
54,Base_Price
55,Price2
56,Base_Price
57,Price1
58,Price2
59,Base_Price
60,Price1
61,Price1
62,Price1
63,Price1
64,Price2
65,Price1
66,Price2
67,Base_Price
68,Price2
69,Price1
70,Price1
71,Price2
72,Price1
73,Base_Price
74,Price2
75,Price1
76,Price1
77,Price2
78,Base_Price
79,Base_Price
80,Price1
81,Price2
82,Price1
83,Price1
84,Price2
85,Price2
86,Price2
87,Price4
88,Price3
89,Price2
90,Base_Price
91,Price1
92,Price2
93,Base_Price
94,Base_Price
95,Price2
96,Price2
97,Price1
98,Price2
99,Price1
100,Price2
101,Price1
102,Base_Price
103,Price3
104,Price1
105,Price2
106,Base_Price
107,Price2
108,Price1
109,Base_Price
110,Price2
111,Base_Price
112,Base_Price
113,Price2
114,Price1
115,Price1
116,Price2
117,Price2
118,Base_Price
119,Base_Price
120,Price1
121,Price2
122,Price2
123,Price2
124,Price2
125,Base_Price
126,Price3
127,Price2
128,Price1
129,Price2
130,Price2
131,Price2
132,Price3
133,Price2
134,Price2
135,Price1
136,Base_Price
137,Price2
138,Base_Price
139,Price1
140,Price2
141,Base_Price
142,Price2
143,Price2
144,Price2
145,Price2
146,Base_Price
147,Price2
148,Price3
149,Price1
150,Price3
151,Price2
152,Price1
153,Price1
154,Price1
155,Price2
156,Price1
157,Price2
158,Base_Price
159,Price1
160,Price2
161,Price2
162,Price1
163,Price1
164,Price4
165,Price1
166,Price2
167,Price1
168,Price3
169,Price1
170,Base_Price
171,Price1
172,Price2
173,Price2
174,Base_Price
175,Price4
176,Price2
177,Base_Price
178,Price2
179,Price2
180,Price1
181,Price2
182,Price1
183,Price2
184,Price3
185,Price3
186,Base_Price
187,Price2
188,Price1
189,Price2
190,Price2
191,Price1
192,Price2
193,Price2
194,Price1
195,Price4
196,Price2
197,Base_Price
198,Base_Price
199,Price1
200,Price2
201,Price1
202,Price2
203,Price3
204,Price1
205,Price1
206,Price1
207,Price2
208,Price4
209,Price4
210,Price2
211,Price1
212,Price2
213,Base_Price
214,Price1
215,Price2
216,Price2
217,Price1
218,Price2
219,Price1
220,Price3
221,Price1
222,Price2
223,Price1
224,Price2
225,Price1
226,Price1
227,Price2
228,Price2
229,Base_Price
230,Price2
231,Base_Price
232,Price1
233,Price4
234,Price2
235,Base_Price
236,Price2
237,Price1
238,Price1
239,Price1
240,Price2
241,Price1
242,Price2
243,Base_Price
244,Base_Price
245,Price2
246,Price1
247,Price2
248,Base_Price
249,Price4
250,Price1
251,Price1
252,Price3
253,Price1
254,Price1
255,Price1
256,Price2
257,Price2
258,Price2
259,Base_Price
260,Price1
261,Base_Price
262,Price2
263,Price2
264,Base_Price
265,Price2
266,Base_Price
267,Price1
268,Price2
269,Price1
270,Price3
271,Price2
272,Price1
273,Price2
274,Price1
275,Price1
276,Price3
277,Price2
278,Price3
279,Price2
280,Price1
281,Price3
282,Price1
283,Price2
284,Price2
285,Price2
286,Base_Price
287,Price1
288,Price2
289,Price1
290,Price2
291,Price2
292,Price1
293,Price3
294,Price1
295,Price2
296,Price2
297,Price1
298,Price4
299,Price1
300,Price2
